,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,South Jeolla Muan-gun,"2,672",228,692,222,921,446,0,163
,South Jeolla Hampyeong-gun,922,155,748,0,0,19,0,0
,South Jeolla Yeongwang-gun,"1,643",481,649,294,39,60,0,120
,South Jeolla Jangseong-gun,"1,038",261,456,79,62,40,0,140
,South Jeolla Wando-gun,"1,282",242,425,277,278,60,0,0
,South Jeolla Jindo-gun,738,94,385,153,66,40,0,0
,South Jeolla Sinan-gun,750,138,612,0,0,0,0,0
North Gyeongsang,North Gyeongsang Total,"85,567","8,663","7,448","2,692","48,588","13,777",75,"4,324"
,North Gyeongsang Pohang-si,"18,107","1,002","1,102",104,"11,408","3,826",0,665
,North Gyeongsang Gyeongju-si,"7,745",445,801,131,"4,649","1,118",0,601
,North Gyeongsang Gimcheon-si,"4,481",456,654,0,"1,924",835,0,612
,North Gyeongsang Andong-si,"4,746",638,963,128,"2,093",428,0,496
,North Gyeongsang Gumi-si,"18,539",893,883,516,"11,038","4,281",75,853
,North Gyeongsang Yeongju-si,"2,897",495,224,440,"1,481",187,0,70
,North Gyeongsang Yeongcheon-si,"2,260",237,356,0,"1,274",249,0,144
,North Gyeongsang Sangju-si,"1,484",270,92,89,815,188,0,30
,North Gyeongsang Mungyeong-si,"1,521",205,200,78,790,221,0,27
,North Gyeongsang Gyeongsan-si,"9,622",633,742,345,"6,515","1,067",0,320
,North Gyeongsang Gunwi-gun,290,17,160,0,113,0,0,0
,North Gyeongsang Uiseong-gun,903,255,517,111,0,20,0,0
,North Gyeongsang Cheongsong-gun,382,199,47,77,0,20,0,39
,North Gyeongsang Yeongyang-gun,234,195,0,39,0,0,0,0
,North Gyeongsang Yeongdeok-gun,822,343,0,0,479,0,0,0
,North Gyeongsang Cheongdo-gun,462,211,47,0,184,20,0,0
,North Gyeongsang Goryeong-gun,943,266,142,0,535,0,0,0
,North Gyeongsang Seongju-gun,596,235,0,0,277,84,0,0
,North Gyeongsang Chilgok-gun,"5,786",378,294,331,"3,873",762,0,148
,North Gyeongsang Yecheon-gun,"1,750",349,159,180,613,400,0,49
,North Gyeongsang Bonghwa-gun,530,282,65,60,85,38,0,0
,North Gyeongsang Uljin-gun,"1,377",569,0,63,442,33,0,270
,North Gyeongsang Ulleung-gun,90,90,0,0,0,0,0,0
South Gyeongsang,South Gyeongsang Total,"119,534","14,024","8,221","3,364","64,048","25,353",178,"4,346"
