,,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Daejeon Jung-gu,Female,"2,448",297,171,48,"1,229",609,15,79
,Daejeon Seo-gu,Total,"11,828",575,437,167,"4,640","4,767",63,"1,179"
,Daejeon Seo-gu,Male,"6,114",312,234,84,"2,418","2,442",34,590
,Daejeon Seo-gu,Female,"5,714",263,203,83,"2,222","2,325",29,589
,Daejeon Yuseong-gu,Total,"11,561",574,775,92,"3,863","3,902",79,"2,276"
,Daejeon Yuseong-gu,Male,"6,062",306,411,45,"2,043","2,055",42,"1,160"
,Daejeon Yuseong-gu,Female,"5,499",268,364,47,"1,820","1,847",37,"1,116"
,Daejeon Daedeok-gu,Total,"4,249",708,369,101,"1,594","1,242",0,235
,Daejeon Daedeok-gu,Male,"2,185",373,186,49,847,614,0,116
,Daejeon Daedeok-gu,Female,"2,064",335,183,52,747,628,0,119
Ulsan,Ulsan Total,Total,"33,315","3,763",843,435,"21,531","4,728",211,"1,804"
,Ulsan Total,Male,"17,394","2,010",462,237,"11,123","2,506",126,930
,Ulsan Total,Female,"15,921","1,753",381,198,"10,408","2,222",85,874
,Ulsan Jung-gu,Total,"5,906",339,184,0,"4,221",622,0,540
,Ulsan Jung-gu,Male,"3,078",181,103,0,"2,179",331,0,284
,Ulsan Jung-gu,Female,"2,828",158,81,0,"2,042",291,0,256
,Ulsan Nam-gu,Total,"7,740","1,073",45,0,"4,612","1,502",173,335
,Ulsan Nam-gu,Male,"4,098",576,25,0,"2,420",797,108,172
,Ulsan Nam-gu,Female,"3,642",497,20,0,"2,192",705,65,163
,Ulsan Dong-gu,Total,"5,935",617,0,0,"4,294",713,0,311
,Ulsan Dong-gu,Male,"3,076",339,0,0,"2,211",373,0,153
,Ulsan Dong-gu,Female,"2,859",278,0,0,"2,083",340,0,158
,Ulsan Buk-gu,Total,"7,920","1,081",123,205,"4,831","1,441",38,201
,Ulsan Buk-gu,Male,"4,094",564,68,114,"2,462",766,18,102
,Ulsan Buk-gu,Female,"3,826",517,55,91,"2,369",675,20,99
,Ulsan Ulju-gun ,Total,"5,814",653,491,230,"3,573",450,0,417
,Ulsan Ulju-gun ,Male,"3,048",350,266,123,"1,851",239,0,219
