Classification,,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Daejon Total,Male,"22,823 ","1,006 ","1,582 ",295 ,"10,018 ","7,979 ",158 ,"1,785 "
,Daejon Total,Female,"20,938 ",905 ,"1,461 ",308 ,"9,105 ","7,273 ",156 ,"1,730 "
,Daejeon Dong-gu,Total,"6,708 ",282 ,837 ,120 ,"3,712 ","1,560 ",68 ,129 
,Daejeon Dong-gu,Male,"3,505 ",135 ,445 ,61 ,"1,946 ",823 ,34 ,61 
,Daejeon Dong-gu,Female,"3,203 ",147 ,392 ,59 ,"1,766 ",737 ,34 ,68 
,Daejeon Jung-gu,Total,"6,118 ",212 ,386 ,94 ,"3,590 ","1,660 ",64 ,112 
,Daejeon Jung-gu,Male,"3,195 ",122 ,194 ,41 ,"1,906 ",841 ,29 ,62 
,Daejeon Jung-gu,Female,"2,923 ",90 ,192 ,53 ,"1,684 ",819 ,35 ,50 
,Daejeon Seo-gu,Total,"13,482 ",543 ,473 ,166 ,"5,374 ","5,624 ",121 ,"1,181 "
,Daejeon Seo-gu,Male,"7,048 ",291 ,248 ,85 ,"2,808 ","2,978 ",68 ,570 
,Daejeon Seo-gu,Female,"6,434 ",252 ,225 ,81 ,"2,566 ","2,646 ",53 ,611 
,Daejeon Yuseong-gu,Total,"12,376 ",373 ,936 ,105 ,"4,197 ","4,859 ",61 ,"1,845 "
,Daejeon Yuseong-gu,Male,"6,450 ",199 ,471 ,48 ,"2,177 ","2,554 ",27 ,974 
,Daejeon Yuseong-gu,Female,"5,926 ",174 ,465 ,57 ,"2,020 ","2,305 ",34 ,871 
,Daejeon Daedeok-gu,Total,"5,077 ",501 ,411 ,118 ,"2,250 ","1,549 ",0 ,248 
,Daejeon Daedeok-gu,Male,"2,625 ",259 ,224 ,60 ,"1,181 ",783 ,0 ,118 
