Classification,,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Incheon Bupyong-gu,Total,"13,581 ","1,162 ",284 ,179 ,"8,019 ","3,370 ",59 ,508 
,Incheon Bupyong-gu,Male,"7,040 ",655 ,144 ,100 ,"4,115 ","1,745 ",33 ,248 
,Incheon Bupyong-gu,Female,"6,541 ",507 ,140 ,79 ,"3,904 ","1,625 ",26 ,260 
,Incheon Gyeyang-gu,Total,"8,414 ",718 ,0 ,30 ,"5,891 ","1,629 ",27 ,119 
,Incheon Gyeyang-gu,Male,"4,341 ",377 ,0 ,12 ,"3,063 ",812 ,12 ,65 
,Incheon Gyeyang-gu,Female,"4,073 ",341 ,0 ,18 ,"2,828 ",817 ,15 ,54 
,Incheon Seo-gu,Total,"16,727 ","1,289 ",67 ,357 ,"10,193 ","4,270 ",25 ,526 
,Incheon Seo-gu,Male,"8,714 ",647 ,46 ,193 ,"5,322 ","2,217 ",13 ,276 
,Incheon Seo-gu,Female,"8,013 ",642 ,21 ,164 ,"4,871 ","2,053 ",12 ,250 
,Incheon Ganghwa-gun,Total,836 ,371 ,0 ,56 ,343 ,46 ,0 ,20 
,Incheon Ganghwa-gun,Male,425 ,187 ,0 ,32 ,171 ,22 ,0 ,13 
,Incheon Ganghwa-gun,Female,411 ,184 ,0 ,24 ,172 ,24 ,0 ,7 
,Incheon Ongjin-gun,Total,322 ,180 ,0 ,0 ,93 ,20 ,0 ,29 
,Incheon Ongjin-gun,Male,168 ,93 ,0 ,0 ,48 ,13 ,0 ,14 
,Incheon Ongjin-gun,Female,154 ,87 ,0 ,0 ,45 ,7 ,0 ,15 
Gwangju,Gwangju Total,Total,"44,134 ","2,303 ","7,785 ","1,383 ","22,441 ","8,581 ",186 ,"1,455 "
,Gwangju Total,Male,"22,924 ","1,174 ","4,134 ",748 ,"11,629 ","4,373 ",99 ,767 
,Gwangju Total,Female,"21,210 ","1,129 ","3,651 ",635 ,"10,812 ","4,208 ",87 ,688 
,Gwangju Dong-gu,Total,"2,287 ",59 ,544 ,114 ,"1,107 ",170 ,0 ,293 
,Gwangju Dong-gu,Male,"1,180 ",28 ,271 ,62 ,577 ,86 ,0 ,156 
,Gwangju Dong-gu,Female,"1,107 ",31 ,273 ,52 ,530 ,84 ,0 ,137 
,Gwangju Seo-gu,Total,"7,707 ",750 ,"1,177 ",64 ,"3,362 ","1,960 ",29 ,365 
,Gwangju Seo-gu,Male,"4,036 ",359 ,677 ,32 ,"1,721 ","1,041 ",17 ,189 
