,,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,South Gyeongsang Haman-gun,Male,602,128,107,15,236,83,0,33
,South Gyeongsang Haman-gun,Female,587,127,75,15,239,96,0,35
,South Gyeongsang Changnyeong-gun,Total,995,232,195,77,440,20,0,31
,South Gyeongsang Changnyeong-gun,Male,527,125,105,36,234,10,0,17
,South Gyeongsang Changnyeong-gun,Female,468,107,90,41,206,10,0,14
,South Gyeongsang Goseong-gun,Total,963,201,126,146,446,44,0,0
,South Gyeongsang Goseong-gun,Male,484,106,61,70,227,20,0,0
,South Gyeongsang Goseong-gun,Female,479,95,65,76,219,24,0,0
,South Gyeongsang Namhae-gun,Total,506,151,0,215,140,0,0,0
,South Gyeongsang Namhae-gun,Male,268,89,0,106,73,0,0,0
,South Gyeongsang Namhae-gun,Female,238,62,0,109,67,0,0,0
,South Gyeongsang Hadong-gun,Total,593,182,107,113,178,0,0,13
,South Gyeongsang Hadong-gun,Male,289,94,46,59,83,0,0,7
,South Gyeongsang Hadong-gun,Female,304,88,61,54,95,0,0,6
,South Gyeongsang Sancheong-gun,Total,405,279,0,58,68,0,0,0
,South Gyeongsang Sancheong-gun,Male,201,139,0,27,35,0,0,0
,South Gyeongsang Sancheong-gun,Female,204,140,0,31,33,0,0,0
,South Gyeongsang Hamgyang-gun,Total,483,158,273,13,0,39,0,0
,South Gyeongsang Hamgyang-gun,Male,228,85,115,8,0,20,0,0
,South Gyeongsang Hamgyang-gun,Female,255,73,158,5,0,19,0,0
,South Gyeongsang Geochang-gun,Total,"1,207",255,0,42,811,99,0,0
,South Gyeongsang Geochang-gun,Male,624,136,0,16,424,48,0,0
,South Gyeongsang Geochang-gun,Female,583,119,0,26,387,51,0,0
,South Gyeongsang Hapcheon-gun,Total,391,153,42,103,63,30,0,0
,South Gyeongsang Hapcheon-gun,Male,221,92,29,63,28,9,0,0
,South Gyeongsang Hapcheon-gun,Female,170,61,13,40,35,21,0,0
Jeju,Jeju Total,Total,"23,825","2,105","5,945","2,483","10,583","1,694",0,"1,015"
,Jeju Total,Male,"12,392","1,130","3,073","1,264","5,530",901,0,494
,Jeju Total,Female,"11,433",975,"2,872","1,219","5,053",793,0,521
,Jeju Jeju-si,Total,"17,973","1,121","3,867","1,588","9,050","1,468",0,879
,Jeju Jeju-si,Male,"9,383",610,"2,039",805,"4,724",777,0,428
,Jeju Jeju-si,Female,"8,590",511,"1,828",783,"4,326",691,0,451
,Jeju Seogwipo-si,Total,"5,852",984,"2,078",895,"1,533",226,0,136
,Jeju Seogwipo-si,Male,"3,009",520,"1,034",459,806,124,0,66
,Jeju Seogwipo-si,Female,"2,843",464,"1,044",436,727,102,0,70
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
