Classification,,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,North Jeolla Jeongeup-si,Male,"1,575 ",156 ,423 ,118 ,679 ,184 ,0 ,15 
,North Jeolla Jeongeup-si,Female,"1,431 ",115 ,389 ,105 ,655 ,154 ,0 ,13 
,North Jeolla Namwon-si,Total,"2,530 ",23 ,548 ,340 ,"1,256 ",363 ,0 ,0 
,North Jeolla Namwon-si,Male,"1,346 ",13 ,277 ,191 ,668 ,197 ,0 ,0 
,North Jeolla Namwon-si,Female,"1,184 ",10 ,271 ,149 ,588 ,166 ,0 ,0 
,North Jeolla Gimje-si,Total,"1,899 ",191 ,604 ,311 ,456 ,329 ,0 ,8 
,North Jeolla Gimje-si,Male,973 ,87 ,315 ,158 ,242 ,165 ,0 ,6 
,North Jeolla Gimje-si,Female,926 ,104 ,289 ,153 ,214 ,164 ,0 ,2 
,North Jeolla Wanju-gun,Total,"3,131 ",220 ,705 ,323 ,"1,387 ",449 ,0 ,47 
,North Jeolla Wanju-gun,Male,"1,583 ",114 ,354 ,168 ,703 ,216 ,0 ,28 
,North Jeolla Wanju-gun,Female,"1,548 ",106 ,351 ,155 ,684 ,233 ,0 ,19 
,North Jeolla Jinan-gun,Total,332 ,106 ,0 ,221 ,5 ,0 ,0 ,0 
,North Jeolla Jinan-gun,Male,173 ,54 ,0 ,117 ,2 ,0 ,0 ,0 
,North Jeolla Jinan-gun,Female,159 ,52 ,0 ,104 ,3 ,0 ,0 ,0 
,North Jeolla Muju-gun,Total,501 ,169 ,37 ,136 ,134 ,25 ,0 ,0 
,North Jeolla Muju-gun,Male,275 ,87 ,22 ,74 ,72 ,20 ,0 ,0 
,North Jeolla Muju-gun,Female,226 ,82 ,15 ,62 ,62 ,5 ,0 ,0 
,North Jeolla Jangsu-gun,Total,452 ,161 ,271 ,0 ,0 ,20 ,0 ,0 
,North Jeolla Jangsu-gun,Male,220 ,78 ,134 ,0 ,0 ,8 ,0 ,0 
,North Jeolla Jangsu-gun,Female,232 ,83 ,137 ,0 ,0 ,12 ,0 ,0 
,North Jeolla Imsil-gun,Total,417 ,0 ,90 ,291 ,0 ,10 ,0 ,26 
,North Jeolla Imsil-gun,Male,241 ,0 ,58 ,165 ,0 ,6 ,0 ,12 
,North Jeolla Imsil-gun,Female,176 ,0 ,32 ,126 ,0 ,4 ,0 ,14 
,North Jeolla Sunchang-gun,Total,477 ,71 ,76 ,165 ,140 ,25 ,0 ,0 
,North Jeolla Sunchang-gun,Male,260 ,34 ,31 ,91 ,89 ,15 ,0 ,0 
,North Jeolla Sunchang-gun,Female,217 ,37 ,45 ,74 ,51 ,10 ,0 ,0 
,North Jeolla Gochang-gun,Total,"1,168 ",122 ,386 ,210 ,386 ,64 ,0 ,0 
,North Jeolla Gochang-gun,Male,626 ,75 ,212 ,102 ,199 ,38 ,0 ,0 
,North Jeolla Gochang-gun,Female,542 ,47 ,174 ,108 ,187 ,26 ,0 ,0 
,North Jeolla Buan-gun,Total,"1,026 ",66 ,0 ,113 ,787 ,50 ,0 ,10 
,North Jeolla Buan-gun,Male,541 ,36 ,0 ,63 ,412 ,21 ,0 ,9 
,North Jeolla Buan-gun,Female,485 ,30 ,0 ,50 ,375 ,29 ,0 ,1 
South Jeolla,South Jeolla Total,Total,"54,708 ","4,960 ","12,354 ","3,305 ","24,741 ","7,669 ",80 ,"1,599 "
,South Jeolla Total,Male,"28,127 ","2,514 ","6,427 ","1,713 ","12,679 ","3,925 ",42 ,827 
,South Jeolla Total,Female,"26,581 ","2,446 ","5,927 ","1,592 ","12,062 ","3,744 ",38 ,772 
,South Jeolla Mokpo-si,Total,"9,940 ",315 ,"1,566 ",119 ,"5,711 ","2,104 ",60 ,65 
,South Jeolla Mokpo-si,Male,"5,058 ",154 ,800 ,72 ,"2,882 ","1,087 ",31 ,32 
,South Jeolla Mokpo-si,Female,"4,882 ",161 ,766 ,47 ,"2,829 ","1,017 ",29 ,33 
,South Jeolla Yeosu-si,Total,"8,383 ",865 ,"2,056 ",382 ,"4,049 ",708 ,0 ,323 
,South Jeolla Yeosu-si,Male,"4,334 ",452 ,"1,066 ",223 ,"2,063 ",359 ,0 ,171 
,South Jeolla Yeosu-si,Female,"4,049 ",413 ,990 ,159 ,"1,986 ",349 ,0 ,152 
,South Jeolla Suncheon-si,Total,"9,426 ",832 ,808 ,353 ,"5,005 ","2,260 ",20 ,148 
,South Jeolla Suncheon-si,Male,"4,877 ",453 ,421 ,181 ,"2,586 ","1,152 ",11 ,73 
,South Jeolla Suncheon-si,Female,"4,549 ",379 ,387 ,172 ,"2,419 ","1,108 ",9 ,75 
,South Jeolla Naju-si,Total,"2,927 ",479 ,467 ,38 ,"1,171 ",346 ,0 ,426 
,South Jeolla Naju-si,Male,"1,516 ",237 ,239 ,20 ,602 ,186 ,0 ,232 
,South Jeolla Naju-si,Female,"1,411 ",242 ,228 ,18 ,569 ,160 ,0 ,194 
,South Jeolla Gwangyang-si,Total,"6,680 ",816 ,733 ,103 ,"4,091 ",771 ,0 ,166 
,South Jeolla Gwangyang-si,Male,"3,415 ",411 ,407 ,59 ,"2,082 ",378 ,0 ,78 
,South Jeolla Gwangyang-si,Female,"3,265 ",405 ,326 ,44 ,"2,009 ",393 ,0 ,88 
,South Jeolla Damyang-gun,Total,681 ,0 ,82 ,61 ,479 ,15 ,0 ,44 
,South Jeolla Damyang-gun,Male,347 ,0 ,43 ,28 ,246 ,9 ,0 ,21 
,South Jeolla Damyang-gun,Female,334 ,0 ,39 ,33 ,233 ,6 ,0 ,23 
,South Jeolla Gokseong-gun,Total,537 ,116 ,355 ,62 ,0 ,0 ,0 ,4 
,South Jeolla Gokseong-gun,Male,284 ,60 ,191 ,31 ,0 ,0 ,0 ,2 
,South Jeolla Gokseong-gun,Female,253 ,56 ,164 ,31 ,0 ,0 ,0 ,2 
,South Jeolla Gurye-gun,Total,489 ,80 ,0 ,197 ,161 ,51 ,0 ,0 
,South Jeolla Gurye-gun,Male,242 ,33 ,0 ,90 ,95 ,24 ,0 ,0 
,South Jeolla Gurye-gun,Female,247 ,47 ,0 ,107 ,66 ,27 ,0 ,0 
,South Jeolla Goheung-gun,Total,"1,057 ",44 ,389 ,245 ,359 ,20 ,0 ,0 
,South Jeolla Goheung-gun,Male,553 ,25 ,199 ,129 ,189 ,11 ,0 ,0 
,South Jeolla Goheung-gun,Female,504 ,19 ,190 ,116 ,170 ,9 ,0 ,0 
,South Jeolla Boseong-gun,Total,693 ,270 ,271 ,44 ,99 ,9 ,0 ,0 
,South Jeolla Boseong-gun,Male,346 ,133 ,138 ,25 ,46 ,4 ,0 ,0 
,South Jeolla Boseong-gun,Female,347 ,137 ,133 ,19 ,53 ,5 ,0 ,0 
,South Jeolla Hwasun-gun,Total,"1,787 ",39 ,430 ,52 ,820 ,446 ,0 ,0 
,South Jeolla Hwasun-gun,Male,923 ,19 ,224 ,28 ,434 ,218 ,0 ,0 
,South Jeolla Hwasun-gun,Female,864 ,20 ,206 ,24 ,386 ,228 ,0 ,0 
,South Jeolla Jangheung-gun,Total,785 ,176 ,281 ,160 ,67 ,101 ,0 ,0 
,South Jeolla Jangheung-gun,Male,400 ,91 ,149 ,88 ,31 ,41 ,0 ,0 
,South Jeolla Jangheung-gun,Female,385 ,85 ,132 ,72 ,36 ,60 ,0 ,0 
,South Jeolla Gangjin-gun,Total,821 ,0 ,338 ,282 ,201 ,0 ,0 ,0 
,South Jeolla Gangjin-gun,Male,408 ,0 ,179 ,123 ,106 ,0 ,0 ,0 
,South Jeolla Gangjin-gun,Female,413 ,0 ,159 ,159 ,95 ,0 ,0 ,0 
,South Jeolla Haenam-gun,Total,"1,462 ",39 ,763 ,85 ,530 ,45 ,0 ,0 
,South Jeolla Haenam-gun,Male,716 ,20 ,379 ,37 ,255 ,25 ,0 ,0 
,South Jeolla Haenam-gun,Female,746 ,19 ,384 ,48 ,275 ,20 ,0 ,0 
,South Jeolla Yeongam-gun,Total,"1,856 ",70 ,834 ,247 ,490 ,139 ,0 ,76 
,South Jeolla Yeongam-gun,Male,976 ,35 ,441 ,127 ,257 ,74 ,0 ,42 
,South Jeolla Yeongam-gun,Female,880 ,35 ,393 ,120 ,233 ,65 ,0 ,34 
,South Jeolla Muan-gun,Total,"2,265 ",157 ,439 ,184 ,901 ,450 ,0 ,134 
,South Jeolla Muan-gun,Male,"1,195 ",75 ,245 ,89 ,488 ,232 ,0 ,66 
,South Jeolla Muan-gun,Female,"1,070 ",82 ,194 ,95 ,413 ,218 ,0 ,68 
,South Jeolla Hampyeong-gun,Total,590 ,57 ,488 ,17 ,13 ,15 ,0 ,0 
,South Jeolla Hampyeong-gun,Male,314 ,29 ,261 ,9 ,5 ,10 ,0 ,0 
,South Jeolla Hampyeong-gun,Female,276 ,28 ,227 ,8 ,8 ,5 ,0 ,0 
,South Jeolla Yeongwang-gun,Total,"1,283 ",39 ,693 ,231 ,179 ,53 ,0 ,88 
,South Jeolla Yeongwang-gun,Male,676 ,19 ,361 ,120 ,94 ,32 ,0 ,50 
,South Jeolla Yeongwang-gun,Female,607 ,20 ,332 ,111 ,85 ,21 ,0 ,38 
,South Jeolla Jangseong-gun,Total,855 ,202 ,346 ,52 ,91 ,39 ,0 ,125 
,South Jeolla Jangseong-gun,Male,440 ,98 ,179 ,35 ,47 ,21 ,0 ,60 
,South Jeolla Jangseong-gun,Female,415 ,104 ,167 ,17 ,44 ,18 ,0 ,65 
,South Jeolla Wando-gun,Total,"1,127 ",149 ,400 ,246 ,275 ,57 ,0 ,0 
,South Jeolla Wando-gun,Male,562 ,72 ,183 ,129 ,144 ,34 ,0 ,0 
,South Jeolla Wando-gun,Female,565 ,77 ,217 ,117 ,131 ,23 ,0 ,0 
,South Jeolla Jindo-gun,Total,590 ,67 ,289 ,145 ,49 ,40 ,0 ,0 
,South Jeolla Jindo-gun,Male,311 ,38 ,148 ,70 ,27 ,28 ,0 ,0 
,South Jeolla Jindo-gun,Female,279 ,29 ,141 ,75 ,22 ,12 ,0 ,0 
,South Jeolla Sinan-gun,Total,474 ,148 ,326 ,0 ,0 ,0 ,0 ,0 
,South Jeolla Sinan-gun,Male,234 ,60 ,174 ,0 ,0 ,0 ,0 ,0 
,South Jeolla Sinan-gun,Female,240 ,88 ,152 ,0 ,0 ,0 ,0 ,0 
North Gyeongsang,North Gyeongsang Total,Total,"71,010 ","5,862 ","5,607 ","2,119 ","41,544 ","13,472 ",36 ,"2,370 "
,North Gyeongsang Total,Male,"37,038 ","3,024 ","3,015 ","1,129 ","21,638 ","6,974 ",8 ,"1,250 "
,North Gyeongsang Total,Female,"33,972 ","2,838 ","2,592 ",990 ,"19,906 ","6,498 ",28 ,"1,120 "
,North Gyeongsang Pohang-si,Total,"15,280 ",700 ,730 ,90 ,"9,162 ","4,098 ",0 ,500 
,North Gyeongsang Pohang-si,Male,"7,996 ",377 ,400 ,54 ,"4,802 ","2,100 ",0 ,263 
,North Gyeongsang Pohang-si,Female,"7,284 ",323 ,330 ,36 ,"4,360 ","1,998 ",0 ,237 
,North Gyeongsang Gyeongju-si,Total,"6,363 ",321 ,546 ,108 ,"3,780 ","1,308 ",0 ,300 
,North Gyeongsang Gyeongju-si,Male,"3,338 ",165 ,310 ,53 ,"1,960 ",697 ,0 ,153 
,North Gyeongsang Gyeongju-si,Female,"3,025 ",156 ,236 ,55 ,"1,820 ",611 ,0 ,147 
,North Gyeongsang Gimcheon-si,Total,"3,658 ",330 ,462 ,22 ,"1,601 ",927 ,0 ,316 
,North Gyeongsang Gimcheon-si,Male,"1,940 ",176 ,259 ,16 ,851 ,466 ,0 ,172 
,North Gyeongsang Gimcheon-si,Female,"1,718 ",154 ,203 ,6 ,750 ,461 ,0 ,144 
,North Gyeongsang Andong-si,Total,"3,929 ",470 ,709 ,115 ,"2,081 ",376 ,0 ,178 
,North Gyeongsang Andong-si,Male,"2,048 ",239 ,373 ,63 ,"1,098 ",180 ,0 ,95 
,North Gyeongsang Andong-si,Female,"1,881 ",231 ,336 ,52 ,983 ,196 ,0 ,83 
,North Gyeongsang Gumi-si,Total,"14,823 ",530 ,683 ,319 ,"9,056 ","3,703 ",36 ,496 
,North Gyeongsang Gumi-si,Male,"7,726 ",256 ,389 ,181 ,"4,702 ","1,915 ",8 ,275 
,North Gyeongsang Gumi-si,Female,"7,097 ",274 ,294 ,138 ,"4,354 ","1,788 ",28 ,221 
,North Gyeongsang Yeongju-si,Total,"2,553 ",307 ,211 ,460 ,"1,417 ",158 ,0 ,0 
,North Gyeongsang Yeongju-si,Male,"1,349 ",145 ,115 ,262 ,735 ,92 ,0 ,0 
,North Gyeongsang Yeongju-si,Female,"1,204 ",162 ,96 ,198 ,682 ,66 ,0 ,0 
,North Gyeongsang Yeongcheon-si,Total,"2,077 ",186 ,329 ,0 ,"1,270 ",212 ,0 ,80 
,North Gyeongsang Yeongcheon-si,Male,"1,060 ",87 ,159 ,0 ,650 ,122 ,0 ,42 
,North Gyeongsang Yeongcheon-si,Female,"1,017 ",99 ,170 ,0 ,620 ,90 ,0 ,38 
,North Gyeongsang Sangju-si,Total,"1,469 ",83 ,66 ,60 ,"1,083 ",177 ,0 ,0 
,North Gyeongsang Sangju-si,Male,763 ,41 ,35 ,21 ,572 ,94 ,0 ,0 
,North Gyeongsang Sangju-si,Female,706 ,42 ,31 ,39 ,511 ,83 ,0 ,0 
,North Gyeongsang Mungyeong-si,Total,"1,448 ",198 ,147 ,69 ,884 ,130 ,0 ,20 
,North Gyeongsang Mungyeong-si,Male,786 ,122 ,85 ,32 ,460 ,77 ,0 ,10 
,North Gyeongsang Mungyeong-si,Female,662 ,76 ,62 ,37 ,424 ,53 ,0 ,10 
,North Gyeongsang Gyeongsan-si,Total,"7,765 ",335 ,586 ,238 ,"5,264 ","1,208 ",0 ,134 
,North Gyeongsang Gyeongsan-si,Male,"3,928 ",165 ,299 ,123 ,"2,668 ",614 ,0 ,59 
,North Gyeongsang Gyeongsan-si,Female,"3,837 ",170 ,287 ,115 ,"2,596 ",594 ,0 ,75 
,North Gyeongsang Gunwi-gun,Total,215 ,13 ,115 ,0 ,87 ,0 ,0 ,0 
,North Gyeongsang Gunwi-gun,Male,121 ,8 ,59 ,0 ,54 ,0 ,0 ,0 
,North Gyeongsang Gunwi-gun,Female,94 ,5 ,56 ,0 ,33 ,0 ,0 ,0 
,North Gyeongsang Uiseong-gun,Total,686 ,104 ,378 ,77 ,107 ,20 ,0 ,0 
,North Gyeongsang Uiseong-gun,Male,355 ,57 ,190 ,39 ,58 ,11 ,0 ,0 
,North Gyeongsang Uiseong-gun,Female,331 ,47 ,188 ,38 ,49 ,9 ,0 ,0 
,North Gyeongsang Cheongsong-gun,Total,311 ,107 ,25 ,40 ,91 ,20 ,0 ,28 
,North Gyeongsang Cheongsong-gun,Male,155 ,58 ,11 ,19 ,45 ,8 ,0 ,14 
,North Gyeongsang Cheongsong-gun,Female,156 ,49 ,14 ,21 ,46 ,12 ,0 ,14 
,North Gyeongsang Yeongyang-gun,Total,199 ,123 ,0 ,52 ,24 ,0 ,0 ,0 
,North Gyeongsang Yeongyang-gun,Male,103 ,67 ,0 ,24 ,12 ,0 ,0 ,0 
,North Gyeongsang Yeongyang-gun,Female,96 ,56 ,0 ,28 ,12 ,0 ,0 ,0 
,North Gyeongsang Yeongdeok-gun,Total,687 ,242 ,0 ,0 ,445 ,0 ,0 ,0 
,North Gyeongsang Yeongdeok-gun,Male,342 ,133 ,0 ,0 ,209 ,0 ,0 ,0 
,North Gyeongsang Yeongdeok-gun,Female,345 ,109 ,0 ,0 ,236 ,0 ,0 ,0 
,North Gyeongsang Cheongdo-gun,Total,480 ,196 ,129 ,0 ,123 ,32 ,0 ,0 
,North Gyeongsang Cheongdo-gun,Male,245 ,108 ,66 ,0 ,59 ,12 ,0 ,0 
,North Gyeongsang Cheongdo-gun,Female,235 ,88 ,63 ,0 ,64 ,20 ,0 ,0 
,North Gyeongsang Goryeong-gun,Total,707 ,187 ,90 ,0 ,430 ,0 ,0 ,0 
,North Gyeongsang Goryeong-gun,Male,365 ,94 ,49 ,0 ,222 ,0 ,0 ,0 
,North Gyeongsang Goryeong-gun,Female,342 ,93 ,41 ,0 ,208 ,0 ,0 ,0 
,North Gyeongsang Seongju-gun,Total,641 ,197 ,0 ,0 ,359 ,85 ,0 ,0 
,North Gyeongsang Seongju-gun,Male,317 ,93 ,0 ,0 ,179 ,45 ,0 ,0 
,North Gyeongsang Seongju-gun,Female,324 ,104 ,0 ,0 ,180 ,40 ,0 ,0 
,North Gyeongsang Chilgok-gun,Total,"4,948 ",318 ,216 ,257 ,"3,249 ",808 ,0 ,100 
,North Gyeongsang Chilgok-gun,Male,"2,645 ",161 ,121 ,131 ,"1,760 ",420 ,0 ,52 
,North Gyeongsang Chilgok-gun,Female,"2,303 ",157 ,95 ,126 ,"1,489 ",388 ,0 ,48 
,North Gyeongsang Yecheon-gun,Total,902 ,186 ,128 ,96 ,362 ,130 ,0 ,0 
,North Gyeongsang Yecheon-gun,Male,473 ,96 ,61 ,51 ,193 ,72 ,0 ,0 
,North Gyeongsang Yecheon-gun,Female,429 ,90 ,67 ,45 ,169 ,58 ,0 ,0 
,North Gyeongsang Bonghwa-gun,Total,458 ,193 ,57 ,71 ,88 ,49 ,0 ,0 
,North Gyeongsang Bonghwa-gun,Male,248 ,107 ,34 ,33 ,43 ,31 ,0 ,0 
,North Gyeongsang Bonghwa-gun,Female,210 ,86 ,23 ,38 ,45 ,18 ,0 ,0 
,North Gyeongsang Uljin-gun,Total,"1,327 ",453 ,0 ,44 ,581 ,31 ,0 ,218 
,North Gyeongsang Uljin-gun,Male,693 ,228 ,0 ,26 ,306 ,18 ,0 ,115 
,North Gyeongsang Uljin-gun,Female,634 ,225 ,0 ,18 ,275 ,13 ,0 ,103 
,North Gyeongsang Ulleung-gun,Total,84 ,83 ,0 ,1 ,0 ,0 ,0 ,0 
,North Gyeongsang Ulleung-gun,Male,42 ,41 ,0 ,1 ,0 ,0 ,0 ,0 
,North Gyeongsang Ulleung-gun,Female,42 ,42 ,0 ,0 ,0 ,0 ,0 ,0 
South Gyeongsang,South Gyeongsang Total,Total,"103,822 ","8,865 ","6,759 ","2,898 ","55,834 ","26,814 ",147 ,"2,505 "
,South Gyeongsang Total,Male,"54,035 ","4,585 ","3,531 ","1,552 ","29,088 ","13,889 ",72 ,"1,318 "
,South Gyeongsang Total,Female,"49,787 ","4,280 ","3,228 ","1,346 ","26,746 ","12,925 ",75 ,"1,187 "
,South Gyeongsang Changwon-si,Total,"31,410 ","2,750 ","1,998 ",816 ,"15,549 ","9,186 ",0 ,"1,111 "
,South Gyeongsang Changwon-si,Male,"16,333 ","1,387 ","1,071 ",432 ,"8,059 ","4,797 ",0 ,587 
,South Gyeongsang Changwon-si,Female,"15,077 ","1,363 ",927 ,384 ,"7,490 ","4,389 ",0 ,524 
,South Gyeongsang Jinju-si,Total,"12,256 ","1,096 ",661 ,225 ,"7,778 ","2,140 ",0 ,356 
,South Gyeongsang Jinju-si,Male,"6,559 ",603 ,351 ,119 ,"4,158 ","1,142 ",0 ,186 
,South Gyeongsang Jinju-si,Female,"5,697 ",493 ,310 ,106 ,"3,620 ",998 ,0 ,170 
,South Gyeongsang Tongyeong-si,Total,"4,691 ",599 ,229 ,63 ,"2,897 ",793 ,0 ,110 
,South Gyeongsang Tongyeong-si,Male,"2,448 ",312 ,123 ,36 ,"1,510 ",412 ,0 ,55 
,South Gyeongsang Tongyeong-si,Female,"2,243 ",287 ,106 ,27 ,"1,387 ",381 ,0 ,55 
,South Gyeongsang Sacheon-si,Total,"4,666 ",434 ,232 ,295 ,"2,760 ",715 ,0 ,230 
,South Gyeongsang Sacheon-si,Male,"2,466 ",216 ,121 ,163 ,"1,444 ",396 ,0 ,126 
,South Gyeongsang Sacheon-si,Female,"2,200 ",218 ,111 ,132 ,"1,316 ",319 ,0 ,104 
,South Gyeongsang Gimhae-si,Total,"18,190 ","1,294 ",520 ,190 ,"9,190 ","6,902 ",0 ,94 
,South Gyeongsang Gimhae-si,Male,"9,302 ",664 ,277 ,90 ,"4,716 ","3,506 ",0 ,49 
,South Gyeongsang Gimhae-si,Female,"8,888 ",630 ,243 ,100 ,"4,474 ","3,396 ",0 ,45 
,South Gyeongsang Miryang-si,Total,"2,356 ",92 ,530 ,38 ,"1,325 ",371 ,0 ,0 
,South Gyeongsang Miryang-si,Male,"1,209 ",47 ,265 ,20 ,699 ,178 ,0 ,0 
,South Gyeongsang Miryang-si,Female,"1,147 ",45 ,265 ,18 ,626 ,193 ,0 ,0 
,South Gyeongsang Geoje-si,Total,"9,875 ",548 ,324 ,0 ,"6,240 ","2,274 ",0 ,489 
,South Gyeongsang Geoje-si,Male,"5,197 ",293 ,169 ,0 ,"3,285 ","1,194 ",0 ,256 
,South Gyeongsang Geoje-si,Female,"4,678 ",255 ,155 ,0 ,"2,955 ","1,080 ",0 ,233 
,South Gyeongsang Yangsan-si,Total,"10,681 ",274 ,"1,080 ",89 ,"5,483 ","3,560 ",147 ,48 
,South Gyeongsang Yangsan-si,Male,"5,499 ",146 ,560 ,47 ,"2,843 ","1,807 ",72 ,24 
,South Gyeongsang Yangsan-si,Female,"5,182 ",128 ,520 ,42 ,"2,640 ","1,753 ",75 ,24 
,South Gyeongsang Uiryeong-gun,Total,398 ,108 ,0 ,109 ,145 ,36 ,0 ,0 
,South Gyeongsang Uiryeong-gun,Male,223 ,59 ,0 ,59 ,81 ,24 ,0 ,0 
,South Gyeongsang Uiryeong-gun,Female,175 ,49 ,0 ,50 ,64 ,12 ,0 ,0 
,South Gyeongsang Haman-gun,Total,"1,842 ",165 ,248 ,73 ,879 ,423 ,0 ,54 
,South Gyeongsang Haman-gun,Male,912 ,84 ,139 ,31 ,413 ,218 ,0 ,27 
,South Gyeongsang Haman-gun,Female,930 ,81 ,109 ,42 ,466 ,205 ,0 ,27 
,South Gyeongsang Changnyeong-gun,Total,"1,179 ",151 ,192 ,80 ,736 ,20 ,0 ,0 
,South Gyeongsang Changnyeong-gun,Male,625 ,71 ,97 ,47 ,395 ,15 ,0 ,0 
,South Gyeongsang Changnyeong-gun,Female,554 ,80 ,95 ,33 ,341 ,5 ,0 ,0 
,South Gyeongsang Goseong-gun,Total,"1,449 ",206 ,189 ,178 ,724 ,152 ,0 ,0 
,South Gyeongsang Goseong-gun,Male,711 ,95 ,74 ,97 ,375 ,70 ,0 ,0 
,South Gyeongsang Goseong-gun,Female,738 ,111 ,115 ,81 ,349 ,82 ,0 ,0 
,South Gyeongsang Namhae-gun,Total,700 ,122 ,0 ,290 ,251 ,37 ,0 ,0 
,South Gyeongsang Namhae-gun,Male,380 ,64 ,0 ,169 ,132 ,15 ,0 ,0 
,South Gyeongsang Namhae-gun,Female,320 ,58 ,0 ,121 ,119 ,22 ,0 ,0 
,South Gyeongsang Hadong-gun,Total,864 ,105 ,199 ,142 ,405 ,0 ,0 ,13 
,South Gyeongsang Hadong-gun,Male,470 ,58 ,105 ,85 ,214 ,0 ,0 ,8 
,South Gyeongsang Hadong-gun,Female,394 ,47 ,94 ,57 ,191 ,0 ,0 ,5 
,South Gyeongsang Sancheong-gun,Total,508 ,322 ,0 ,90 ,96 ,0 ,0 ,0 
,South Gyeongsang Sancheong-gun,Male,268 ,170 ,0 ,45 ,53 ,0 ,0 ,0 
,South Gyeongsang Sancheong-gun,Female,240 ,152 ,0 ,45 ,43 ,0 ,0 ,0 
,South Gyeongsang Hamgyang-gun,Total,627 ,172 ,304 ,26 ,78 ,47 ,0 ,0 
,South Gyeongsang Hamgyang-gun,Male,327 ,93 ,155 ,12 ,44 ,23 ,0 ,0 
,South Gyeongsang Hamgyang-gun,Female,300 ,79 ,149 ,14 ,34 ,24 ,0 ,0 
,South Gyeongsang Geochang-gun,Total,"1,572 ",259 ,9 ,49 ,"1,156 ",99 ,0 ,0 
,South Gyeongsang Geochang-gun,Male,818 ,138 ,4 ,22 ,598 ,56 ,0 ,0 
,South Gyeongsang Geochang-gun,Female,754 ,121 ,5 ,27 ,558 ,43 ,0 ,0 
,South Gyeongsang Hapcheon-gun,Total,558 ,168 ,44 ,145 ,142 ,59 ,0 ,0 
,South Gyeongsang Hapcheon-gun,Male,288 ,85 ,20 ,78 ,69 ,36 ,0 ,0 
,South Gyeongsang Hapcheon-gun,Female,270 ,83 ,24 ,67 ,73 ,23 ,0 ,0 
Jeju,Jeju Total,Total,"27,231 ","1,813 ","6,357 ","2,842 ","13,032 ","2,452 ",0 ,735 
,Jeju Total,Male,"14,023 ",949 ,"3,391 ","1,455 ","6,619 ","1,227 ",0 ,382 
,Jeju Total,Female,"13,208 ",864 ,"2,966 ","1,387 ","6,413 ","1,225 ",0 ,353 
,Jeju Jeju-si,Total,"20,941 ","1,016 ","4,035 ","1,817 ","11,261 ","2,111 ",0 ,701 
,Jeju Jeju-si,Male,"10,782 ",529 ,"2,150 ",951 ,"5,731 ","1,057 ",0 ,364 
,Jeju Jeju-si,Female,"10,159 ",487 ,"1,885 ",866 ,"5,530 ","1,054 ",0 ,337 
,Jeju Seogwipo-si,Total,"6,290 ",797 ,"2,322 ","1,025 ","1,771 ",341 ,0 ,34 
,Jeju Seogwipo-si,Male,"3,241 ",420 ,"1,241 ",504 ,888 ,170 ,0 ,18 
,Jeju Seogwipo-si,Female,"3,049 ",377 ,"1,081 ",521 ,883 ,171 ,0 ,16 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
