,,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Ulsan Nam-gu,Female,"2,980",534,12,0,"1,679",543,70,142
,Ulsan Dong-gu,Total,"4,550",607,0,0,"3,079",540,0,324
,Ulsan Dong-gu,Male,"2,345",339,0,0,"1,565",272,0,169
,Ulsan Dong-gu,Female,"2,205",268,0,0,"1,514",268,0,155
,Ulsan Buk-gu,Total,"7,032","1,438",115,151,"3,919","1,200",27,182
,Ulsan Buk-gu,Male,"3,719",754,70,87,"2,058",638,15,97
,Ulsan Buk-gu,Female,"3,313",684,45,64,"1,861",562,12,85
,Ulsan Ulju-gun ,Total,"4,949",867,430,181,"2,688",350,0,433
,Ulsan Ulju-gun ,Male,"2,570",437,216,89,"1,396",181,0,251
,Ulsan Ulju-gun ,Female,"2,379",430,214,92,"1,292",169,0,182
Sejong,Sejong Total,Total,"15,248","4,333",428,248,"5,689","2,062",0,"2,488"
,Sejong Total,Male,"7,782","2,237",219,140,"2,906","1,029",0,"1,251"
,Sejong Total,Female,"7,466","2,096",209,108,"2,783","1,033",0,"1,237"
,Sejong,Total,"15,248","4,333",428,248,"5,689","2,062",0,"2,488"
,Sejong,Male,"7,782","2,237",219,140,"2,906","1,029",0,"1,251"
,Sejong,Female,"7,466","2,096",209,108,"2,783","1,033",0,"1,237"
Gyeonggi,Gyeonggi Total,Total,"350,117","70,403","3,512","5,724","172,486","80,731","1,557","15,704"
,Gyeonggi Total,Male,"181,208","36,519","1,878","3,019","89,328","41,512",856,"8,096"
,Gyeonggi Total,Female,"168,909","33,884","1,634","2,705","83,158","39,219",701,"7,608"
,Gyeonggi Suwon-si,Total,"27,091","3,880",191,423,"12,758","7,664",67,"2,108"
,Gyeonggi Suwon-si,Male,"14,048","2,013",104,223,"6,666","3,910",36,"1,096"
,Gyeonggi Suwon-si,Female,"13,043","1,867",87,200,"6,092","3,754",31,"1,012"
,Gyeonggi Seongnam-si,Total,"19,583","6,246",81,449,"4,923","4,243",196,"3,445"
,Gyeonggi Seongnam-si,Male,"10,075","3,262",41,218,"2,508","2,138",109,"1,799"
,Gyeonggi Seongnam-si,Female,"9,508","2,984",40,231,"2,415","2,105",87,"1,646"
,Gyeonggi Uijeongbu-si,Total,"11,633","2,049",0,94,"6,305","2,819",19,347
,Gyeonggi Uijeongbu-si,Male,"6,104","1,133",0,49,"3,291","1,446",13,172
